time,open,high,low,close,tick_volume,spread
2022-09-06 11:00:00,1.15705,1.15873,1.15615,1.15732,4166,8
2022-09-06 12:00:00,1.15734,1.15808,1.15464,1.15466,4864,8
2022-09-06 13:00:00,1.15469,1.15498,1.15193,1.15193,8131,8
2022-09-06 14:00:00,1.1519,1.15382,1.14935,1.15279,11325,8
2022-09-06 15:00:00,1.15278,1.15509,1.15189,1.15473,6952,8
2022-09-06 16:00:00,1.15475,1.15487,1.15283,1.15299,4254,8
2022-09-06 17:00:00,1.15296,1.15325,1.15122,1.15139,3104,8
2022-09-06 18:00:00,1.15136,1.15306,1.15133,1.15238,3180,8
2022-09-06 19:00:00,1.15237,1.15274,1.15127,1.15163,2569,8
2022-09-06 20:00:00,1.15161,1.1519,1.15129,1.15183,390,8
2022-09-06 21:00:00,1.15168,1.15175,1.15091,1.15148,286,59
2022-09-06 22:00:00,1.15157,1.15183,1.15056,1.15098,216,40
2022-09-06 23:00:00,1.15111,1.15137,1.15018,1.15098,845,12
2022-09-07 00:00:00,1.151,1.15151,1.14786,1.148,3641,8
2022-09-07 01:00:00,1.14797,1.14855,1.14748,1.14822,3438,8
2022-09-07 02:00:00,1.14824,1.14828,1.14638,1.14697,2928,8
2022-09-07 03:00:00,1.14695,1.14719,1.14512,1.14649,2879,8
2022-09-07 04:00:00,1.14647,1.14812,1.14531,1.14779,2808,8
2022-09-07 05:00:00,1.14777,1.14836,1.14715,1.14797,2160,8
2022-09-07 06:00:00,1.14798,1.14961,1.14692,1.14945,4468,8
2022-09-07 07:00:00,1.14946,1.15185,1.14849,1.15138,5113,8
2022-09-07 08:00:00,1.15139,1.15229,1.14917,1.14956,4161,8
2022-09-07 09:00:00,1.14959,1.15019,1.14653,1.14876,4320,8
2022-09-07 10:00:00,1.14879,1.14906,1.14391,1.14436,4442,8
2022-09-07 11:00:00,1.14436,1.14506,1.14161,1.14237,6820,8
2022-09-07 12:00:00,1.14237,1.14366,1.14138,1.14311,6044,8
2022-09-07 13:00:00,1.14309,1.14532,1.14118,1.14125,6133,8
2022-09-07 14:00:00,1.14122,1.14748,1.14049,1.14658,8993,8
2022-09-07 15:00:00,1.14659,1.14837,1.14484,1.14691,4638,8
2022-09-07 16:00:00,1.14688,1.14994,1.14683,1.14946,3517,8
